9	2 3 4 5 11 15 17 18 19 
10	2 5 6 8 10 11 12 16 18 19 
9	0 1 3 5 9 11 12 13 17 
14	0 2 4 5 7 8 10 11 13 15 16 17 18 19 
10	0 3 5 6 9 11 12 13 15 16 
16	0 1 2 3 4 6 8 9 10 11 13 14 15 17 18 19 
10	1 4 5 8 10 11 12 14 15 19 
11	3 8 9 10 11 13 14 15 17 18 19 
12	1 3 5 6 7 9 12 13 15 16 18 19 
13	2 4 5 7 8 10 11 12 13 15 16 17 18 
11	1 3 5 6 7 9 11 12 13 15 19 
15	0 1 2 3 4 5 6 7 9 10 13 14 16 17 19 
10	1 2 4 6 8 9 10 15 16 17 
13	2 3 4 5 7 8 9 10 11 15 17 18 19 
6	5 6 7 11 16 19 
12	0 3 4 5 6 7 8 9 10 12 13 18 
10	1 3 4 8 9 11 12 14 17 19 
12	0 2 3 5 7 9 11 12 13 16 18 19 
11	0 1 3 5 7 8 9 13 15 17 19 
14	0 1 3 5 6 7 8 10 11 13 14 16 17 18 
end
