32	2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 22 23 25 26 27 28 29 31 33 34 35 36 37 38 
27	2 3 5 6 8 9 10 11 12 13 15 16 18 20 21 23 24 25 26 27 28 30 32 33 34 36 39 
26	0 1 3 4 5 7 9 10 11 13 14 16 17 18 19 21 22 23 27 29 30 31 32 35 38 39 
28	0 1 2 5 6 8 10 12 14 15 17 18 19 20 21 22 23 24 25 27 28 29 31 33 35 36 38 39 
24	0 2 5 7 8 10 12 14 16 17 19 20 21 23 24 25 26 28 29 31 32 33 34 36 
21	0 1 2 3 4 6 9 14 15 16 17 20 23 24 25 28 29 34 35 36 37 
23	0 1 3 5 7 10 11 12 14 15 17 19 20 22 23 24 25 27 31 32 35 38 39 
27	0 2 4 6 8 9 10 11 12 14 15 16 17 18 19 20 25 27 28 29 30 31 33 34 36 38 39 
20	0 1 3 4 7 10 12 14 15 17 20 22 23 24 26 28 29 30 35 39 
22	0 1 2 5 7 10 11 15 16 17 19 22 23 24 27 29 30 35 36 37 38 39 
23	0 1 2 3 4 6 7 8 9 11 14 15 16 17 18 19 21 22 23 27 30 35 38 
20	1 2 6 7 9 10 13 14 21 22 24 26 27 30 31 32 33 34 35 39 
26	0 1 3 4 6 7 8 14 15 16 18 19 20 21 23 24 25 27 29 30 31 32 34 35 36 38 
17	0 1 2 11 16 17 18 21 24 25 27 29 30 31 32 33 37 
27	0 2 3 4 5 6 7 8 10 11 12 15 16 17 18 19 20 22 23 25 26 28 29 30 32 38 39 
23	0 1 3 5 6 7 8 9 10 12 14 17 21 22 24 25 26 29 31 33 34 37 38 
23	0 1 2 4 5 7 9 10 12 13 14 21 24 26 28 30 33 34 35 36 37 38 39 
28	0 2 3 4 5 6 7 8 9 10 13 14 15 18 19 21 24 25 26 28 29 32 33 34 35 36 37 38 
23	0 1 2 3 7 10 12 13 14 17 19 22 24 26 28 29 31 32 34 36 37 38 39 
22	0 2 3 4 6 7 9 10 12 14 17 18 20 22 24 25 26 30 31 34 35 36 
20	0 1 3 4 5 6 7 8 12 14 19 21 26 30 31 32 33 34 35 39 
22	1 2 3 4 10 11 12 13 15 16 17 20 23 24 28 29 30 31 33 35 36 37 
24	0 2 3 6 8 9 10 11 14 15 18 19 23 24 26 27 28 30 31 32 33 34 36 39 
29	0 1 2 3 4 5 6 8 9 10 12 14 21 22 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 
27	1 3 4 5 6 8 9 11 12 13 15 16 17 18 19 21 22 23 26 27 28 30 31 33 36 38 39 
23	0 1 3 4 5 6 7 12 13 14 15 17 19 23 26 27 29 30 31 32 33 36 37 
20	0 1 4 8 11 14 15 16 17 18 19 20 22 23 24 25 27 30 34 37 
26	0 1 2 3 6 7 9 10 11 12 13 22 23 24 25 26 28 29 30 31 32 33 36 37 38 39 
21	0 1 3 4 5 7 8 14 16 17 18 21 22 23 24 27 31 32 33 34 39 
22	0 2 3 4 5 7 8 9 12 13 14 15 17 18 21 25 27 30 31 32 36 38 
24	1 2 7 8 9 10 11 12 13 14 16 19 20 21 22 23 24 25 26 27 29 32 33 39 
26	0 2 3 4 6 7 11 12 13 15 18 19 20 21 22 23 24 25 27 28 29 32 35 36 38 39 
22	1 2 4 6 11 12 13 14 17 18 20 22 23 25 27 28 29 30 31 35 37 39 
20	0 1 3 4 7 11 13 15 16 17 20 21 22 23 24 25 27 28 30 39 
19	0 1 4 5 7 11 12 15 16 17 18 19 20 22 23 26 28 35 36 
22	0 2 3 5 6 8 9 10 11 12 16 17 19 20 21 23 31 32 34 37 38 39 
24	0 1 3 4 5 7 9 12 16 17 18 19 21 22 23 24 25 27 29 31 34 37 38 39 
17	0 5 9 13 15 16 17 18 21 23 25 26 27 32 35 36 39 
21	0 2 3 6 7 9 10 12 14 15 16 17 18 23 24 27 29 31 35 36 39 
25	1 2 3 6 7 8 9 11 14 16 18 20 22 23 24 27 28 30 31 32 33 35 36 37 38 
end
