n, capacity, method, time
1 ,15 , BF, 0
2 ,15 , BF, 0
3 ,15 , BF, 0
4 ,15 , BF, 0
5 ,15 , BF, 0
6 ,15 , BF, 0
7 ,15 , BF, 0
8 ,15 , BF, 0
9 ,15 , BF, 0
10 ,15 , BF, 0
11 ,15 , BF, 0
12 ,15 , BF, 0
13 ,15 , BF, 0
14 ,15 , BF, 0.001
15 ,15 , BF, 0.001
16 ,15 , BF, 0.002
17 ,15 , BF, 0.004
18 ,15 , BF, 0.015
19 ,15 , BF, 0.02
20 ,15 , BF, 0.032
21 ,15 , BF, 0.074
22 ,15 , BF, 0.133
23 ,15 , BF, 0.326
24 ,15 , BF, 0.483
25 ,15 , BF, 1.026
26 ,15 , BF, 2.721
27 ,15 , BF, 4.989
28 ,15 , BF, 8.385
29 ,15 , BF, 17.932
30 ,15 , BF, 31.305
31 ,15 , BF, 64.178
32 ,15 , BF, 136.225
33 ,15 , BF, 291.555
